ItemName_Base.BaggyTee= "宽松T恤",
ItemName_Base.CrewneckSweatshirt= "运动衫",
ItemName_Base.Jacket_CanvasDOWN= "帆布夹克",
ItemName_Base.Jacket_Canvas= "帆布夹克",
ItemName_Base.Jacket_Sherpa= "牛仔夹克 (羊毛)",
ItemName_Base.CarpenterPants= "木匠工装裤",
ItemName_Base.CarpenterJeans= "木匠牛仔裤",
ItemName_Base.Hat_BaseballCapTINT_Reverse = "棒球帽 (反戴)",
ItemName_Base.Hat_BaseballCap_HuntingCamo = "棒球帽 - 狩猎迷彩",
ItemName_Base.Hat_BaseballCap_HuntingCamo_Reverse = "棒球帽 - 狩猎迷彩（反戴）",
ItemName_Base.Hat_BaseballCap_Reverse = "棒球帽",
ItemName_Base.Hat_BaseballCap_Spiffos = "棒球帽 - 斯皮福餐厅",
ItemName_Base.Hat_BaseballCap_Spiffos_Reverse = "棒球帽 - 斯皮福餐厅（反戴）",
ItemName_Base.Hat_BuildersRespirator = "半面防毒面具",
ItemName_Base.Hat_BuildersRespirator_nofilter = "半面防毒面具(无滤芯)",
ItemName_Base.Hat_Cowboy = "牛仔帽",
ItemName_Base.Hat_DustMask = "防尘面罩",
ItemName_Base.Hat_GasMask = "防毒面具",
ItemName_Base.Hat_GasMask_nofilter = "防毒面具 (无滤芯)",
ItemName_Base.Hat_HardHat = "安全帽",
ItemName_Base.Hat_HockeyMask = "曲棍球面具",
ItemName_Base.Hat_NBCmask = "核生化面罩",
ItemName_Base.Hat_NBCmask_nofilter = "核生化面罩 (无滤芯)",
ItemName_Base.Hat_WinterHat = "冬帽",
ItemName_Base.HazmatSuit = "化学防护服",
ItemName_Base.HolsterDouble = "双枪套",
ItemName_Base.HolsterShoulder = "肩挂枪套",
ItemName_Base.HolsterSimple = "单枪套",
ItemName_Base.HolsterSimple_Black = "黑色枪套",
ItemName_Base.HolsterSimple_Brown = "棕色枪套",
ItemName_Base.HolsterSimple_Green = "绿色枪套",
ItemName_Base.HospitalGown = "病号服",
ItemName_Base.JacketLong_Random = "皮质风衣",
ItemName_Base.JacketLong_RandomOPEN = "皮质风衣（敞开）",
ItemName_Base.JacketLong_RandomOPENROLL = "皮质风衣",
ItemName_Base.JacketLong_RandomROLL = "皮质风衣",
ItemName_Base.Jacket_Varsity = "校队夹克",
ItemName_Base.Jacket_VarsityOPEN = "校队夹克（敞开）",
ItemName_Base.Jacket_VarsityOPENROLL = "校队夹克",
ItemName_Base.Jacket_VarsityROLL = "校队夹克",
ItemName_Base.PonchoGreen = "雨衣 (绿)",
ItemName_Base.PonchoGreenDOWN = "雨衣 (绿)",
ItemName_Base.PonchoYellow = "雨衣 (黄)",
ItemName_Base.PonchoYellowDOWN = "雨衣 (黄)",
ItemName_Base.Shirt_Denim = "牛仔衬衫",
ItemName_Base.Shirt_DenimOPEN = "牛仔衬衫（敞开）",
ItemName_Base.Shirt_DenimOPENROLL = "牛仔衬衫",
ItemName_Base.Shirt_DenimROLL = "牛仔衬衫",
ItemName_Base.Shirt_HawaiianRed = "夏威夷衬衫 (红)",
ItemName_Base.Shirt_HawaiianRedOPEN = "夏威夷衬衫 (红)（敞开）",
ItemName_Base.Shirt_Lumberjack = "伐木工衬衫",
ItemName_Base.Shirt_LumberjackOPEN = "伐木工衬衫（敞开）",
ItemName_Base.Shirt_LumberjackOPENROLL = "伐木工衬衫",
ItemName_Base.Shirt_LumberjackROLL = "伐木工衬衫",
ItemName_Base.Shirt_Lumberjack_TINT = "衬衫 (伐木工)",
ItemName_Base.Shirt_Workman = "工人衬衫",
ItemName_Base.Shirt_WorkmanOPEN = "工人衬衫（敞开）",
ItemName_Base.Shirt_WorkmanOPENROLL = "工人衬衫",
ItemName_Base.Shirt_WorkmanROLL = "工人衬衫",
ItemName_Base.Shoes_BlueTrainers = "运动鞋 (蓝)",
ItemName_Base.Shoes_RedTrainers = "运动鞋 (红)",
ItemName_Base.Shoes_TrainerTINT = "运动鞋",
ItemName_Base.Shorts_LongDenim = "长牛仔短裤",
ItemName_Base.Shorts_LongDenim_Punk = "长牛仔短裤 (朋克风)",
ItemName_Base.Shorts_LongSport = "长运动短裤",
ItemName_Base.Shorts_ShortDenim = "牛仔短裤",
ItemName_Base.Shorts_ShortSport = "运动短裤",
ItemName_Base.Trousers_Denim = "牛仔裤",
ItemName_Base.Trousers_DenimTUCK = "牛仔裤",
ItemName_Base.Trousers_HuntingCamo = "长裤(狩猎迷彩)",
ItemName_Base.Trousers_JeanBaggy = "宽松牛仔裤",
ItemName_Base.Trousers_JeanBaggyTUCK = "宽松牛仔裤",
ItemName_Base.Trousers_JeanBaggy_Punk = "宽松牛仔裤 (朋克风)",
ItemName_Base.Trousers_Sport = "运动长裤",
ItemName_Base.Tshirt_LongSleeve_SuperColor = "长袖 T 恤",
ItemName_Base.Tshirt_Sport = "运动 T 恤",
ItemName_Base.Tshirt_SuperColor = "T 恤",
ItemName_Base.Tshirt_TieDye = "T 恤 (扎染)",
ItemName_Base.Underpants_RedSpots = "内裤 - 红点",
ItemName_Base.Vest_HighViz = "反光背心",
ItemName_Base.Vest_HighVizOPEN = "反光背心（敞开）",
ItemName_Base.Vest_Hunting_Grey = "狩猎背心",
ItemName_Base.Vest_Hunting_GreyOPEN = "狩猎背心（敞开）",
ItemName_Base.Vest_Hunting_Khaki = "狩猎背心 (卡其)",
ItemName_Base.Vest_Hunting_Orange = "狩猎背心 (橙)",
ItemName_Base.Vest_Hunting_OrangeOPEN = "狩猎背心 (橙)",
ItemName_Base.Vest_Trucker = "狩猎背心 (带补丁)",
ItemName_Base.WristWatch_Left_DigitalBlack = "电子表 (黑)",
ItemName_Base.WristWatch_Left_DigitalRed = "电子表 (红)",
ItemName_Base.WristWatch_Left_Expensive = "豪华腕表",
ItemName_Base.WristWatch_Right_DigitalBlack = "电子表 (黑)",
ItemName_Base.WristWatch_Right_DigitalRed = "电子表 (红)",
ItemName_Base.WristWatch_Right_Expensive = "豪华腕表",
